0, 4629;1, 205; RSS_KB=192716
0, 4727;1, 205; RSS_KB=6169048
0, 4703;1, 205; RSS_KB=8406364
0, 4697;1, 205; RSS_KB=9765156
0, 4697;1, 205; RSS_KB=16186160
0, 4697;1, 205; RSS_KB=18497540
0, 4619;1, 205; RSS_KB=18497540
0, 9882;1, 205; RSS_KB=19638788
0, 9736;1, 205; RSS_KB=20072456
0, 9733;1, 205; RSS_KB=20505744
0, 5510;1, 205; RSS_KB=21152456
0, 9695;1, 205; RSS_KB=21582896
0, 9686;1, 205; RSS_KB=22014496
0, 9680;1, 205; RSS_KB=22444752
0, 9672;1, 205; RSS_KB=22876524
0, 9553;1, 205; RSS_KB=23308280
0, 9555;1, 205; RSS_KB=23740056
0, 9565;1, 205; RSS_KB=24170412
0, 9565;1, 205; RSS_KB=24601992
0, 9586;1, 205; RSS_KB=25032244
0, 5691;1, 205; RSS_KB=25579792
0, 5458;1, 205; RSS_KB=26107888
0, 9698;1, 205; RSS_KB=26538144
0, 9684;1, 205; RSS_KB=26968400
0, 9684;1, 205; RSS_KB=27398676
0, 9648;1, 205; RSS_KB=27828932
0, 9646;1, 205; RSS_KB=28259188
0, 9646;1, 205; RSS_KB=28689444
0, 5620;1, 205; RSS_KB=29270892
0, 9648;1, 205; RSS_KB=29765100
0, 9644;1, 205; RSS_KB=30195356
0, 9644;1, 205; RSS_KB=30258776
0, 9657;1, 205; RSS_KB=30258784
0, 9656;1, 205; RSS_KB=30258784
0, 9656;1, 205; RSS_KB=30258784
0, 9644;1, 205; RSS_KB=30258784
0, 9644;1, 205; RSS_KB=30258784
0, 9961;1, 205; RSS_KB=30258784
0, 9636;1, 205; RSS_KB=30258784
0, 9635;1, 205; RSS_KB=30258784
0, 9635;1, 205; RSS_KB=30258784
0, 9639;1, 205; RSS_KB=30258784
0, 9639;1, 205; RSS_KB=30258784
0, 9639;1, 205; RSS_KB=30258784
0, 9639;1, 205; RSS_KB=30258784
0, 9629;1, 205; RSS_KB=30258784
0, 9629;1, 205; RSS_KB=30258784
0, 9629;1, 205; RSS_KB=30258784
0, 9629;1, 205; RSS_KB=30258784
0, 9635;1, 205; RSS_KB=30258784
0, 9781;1, 205; RSS_KB=30270488
0, 9635;1, 205; RSS_KB=30270516
0, 9635;1, 205; RSS_KB=30270516
0, 9629;1, 205; RSS_KB=30270516
0, 9629;1, 205; RSS_KB=30270516
0, 9639;1, 205; RSS_KB=30270516
0, 9639;1, 205; RSS_KB=30270516
0, 9639;1, 205; RSS_KB=30270516
0, 9639;1, 205; RSS_KB=30270516
0, 9629;1, 205; RSS_KB=30270516
0, 9639;1, 205; RSS_KB=30270516
